time,position_x,momentum_z
6.95447723861931e-19,4.9377585549667123e-11,-1.789935158788365e-21
7.016570785392697e-19,4.937202838067354e-11,-1.789934572485387e-21
7.078664332166084e-19,4.93664712135287e-11,-1.789933986050409e-21
7.14075787893947e-19,4.936091404823332e-11,-1.7899333994833865e-21
7.202851425712857e-19,4.9355356884788106e-11,-1.789932812784275e-21
7.264944972486244e-19,4.9349799723193776e-11,-1.7899322259530302e-21
7.327038519259631e-19,4.934424256345103e-11,-1.789931638989607e-21
7.389132066033017e-19,4.933868540556058e-11,-1.789931051893961e-21
7.451225612806404e-19,4.933312824952311e-11,-1.7899304646660475e-21
7.51331915957979e-19,4.932757109533933e-11,-1.789929877305822e-21
7.575412706353177e-19,4.932201394300992e-11,-1.7899292898132397e-21
7.637506253126564e-19,4.931645679253557e-11,-1.789928702188256e-21
7.69959979989995e-19,4.931089964391695e-11,-1.789928114430826e-21
7.761693346673337e-19,4.930534249715475e-11,-1.7899275265409054e-21
7.823786893446724e-19,4.9299785352249635e-11,-1.789926938518449e-21
7.885880440220111e-19,4.929422820920227e-11,-1.789926350363412e-21
7.947973986993497e-19,4.9288671068013324e-11,-1.78992576207575e-21
8.010067533766884e-19,4.9283113928683445e-11,-1.7899251736554178e-21
8.07216108054027e-19,4.927755679121329e-11,-1.789924585102371e-21
8.134254627313658e-19,4.92719996556035e-11,-1.789923996416564e-21
8.196348174087044e-19,4.926644252185472e-11,-1.7899234075979525e-21
8.258441720860431e-19,4.926088538996758e-11,-1.7899228186464916e-21
8.320535267633817e-19,4.925532825994271e-11,-1.7899222295621363e-21
8.382628814407205e-19,4.9249771131780723e-11,-1.7899216403448414e-21
8.444722361180591e-19,4.924421400548225e-11,-1.789921050994562e-21
8.506815907953978e-19,4.9238656881047896e-11,-1.7899204615112534e-21
8.568909454727364e-19,4.923309975847827e-11,-1.7899198718948704e-21
8.6310030015007505e-19,4.9227542637773956e-11,-1.789919282145368e-21
8.693096548274138e-19,4.922198551893556e-11,-1.7899186922627013e-21
8.755190095047524e-19,4.9216428401963655e-11,-1.789918102246825e-21
8.81728364182091e-19,4.9210871286858827e-11,-1.7899175120976942e-21
8.879377188594297e-19,4.9205314173621643e-11,-1.7899169218152638e-21
8.941470735367684e-19,4.919975706225267e-11,-1.7899163313994886e-21
9.00356428214107e-19,4.919419995275245e-11,-1.7899157408503232e-21
9.065657828914459e-19,4.918864284512155e-11,-1.789915150167723e-21
9.127751375687845e-19,4.91830857393605e-11,-1.789914559351642e-21
9.189844922461232e-19,4.9177528635469834e-11,-1.789913968402036e-21
9.251938469234618e-19,4.9171971533450086e-11,-1.789913377318859e-21
9.314032016008005e-19,4.916641443330177e-11,-1.7899127861020664e-21
9.376125562781391e-19,4.9160857335025395e-11,-1.7899121947516122e-21
9.438219109554778e-19,4.9155300238621466e-11,-1.7899116032674515e-21
9.500312656328164e-19,4.9149743144090475e-11,-1.789911011649539e-21
9.56240620310155e-19,4.914418605143291e-11,-1.7899104198978294e-21
9.624499749874939e-19,4.913862896064925e-11,-1.7899098280122774e-21
9.686593296648325e-19,4.9133071871739964e-11,-1.7899092359928376e-21
9.748686843421712e-19,4.912751478470551e-11,-1.7899086438394643e-21
9.810780390195098e-19,4.9121957699546346e-11,-1.7899080515521126e-21
9.872873936968485e-19,4.911640061626291e-11,-1.7899074591307368e-21
9.934967483741871e-19,4.9110843534855644e-11,-1.7899068665752915e-21
9.997061030515258e-19,4.9105286455324966e-11,-1.789906273885731e-21
1.0059154577288644e-18,4.9099729377671296e-11,-1.78990568106201e-21
1.012124812406203e-18,4.909417230189504e-11,-1.789905088104083e-21
